country,year,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,peruncod
41,1990,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,-1,0,-1,-1,1,0,0,1,-1,1,-1,0,1,-1,0,-1,0,0,0,-1,0,
41,1994,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,-1,0,-1,-1,1,0,0,1,-1,1,-1,0,1,-1,0,-1,0,0,0,-1,0,
41,1998,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,-1,0,-1,-1,1,0,0,1,-1,1,-1,0,1,-1,0,-1,0,0,0,-1,0,
41,2002,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,-1,0,-1,-1,1,0,0,1,-1,1,-1,0,1,-1,0,-1,0,0,0,-1,0,
41,2005,0,0,0,0,-1,0,-1,0,0,1,-1,-1,0,-1,0,0,1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,-1,0,-1,-1,1,0,0,1,-1,1,-1,0,1,-1,0,-1,0,0,0,-1,0,
41,1987,0,0,0,1,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,1,0,0,1,1,-1,-1,0,0,1,0,0,1,0,-1,-1,1,0,-1,0,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,-1,1,1,0,1,0,
51,1992,0,0,0,1,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,1,0,0,1,1,-1,-1,0,0,1,0,0,1,0,-1,-1,1,0,-1,-1,-1,0,-1,0,-1,0,1,0,1,0,1,0,0,0,-1,1,1,0,1,0,
51,1997,0,0,0,1,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,1,0,0,1,1,-1,-1,0,0,1,0,0,1,0,-1,-1,1,0,-1,-1,-1,0,-1,0,-1,0,1,0,1,0,1,0,0,0,-1,1,1,0,1,0,
51,2001,0,0,0,1,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,1,0,0,1,1,-1,-1,0,0,1,0,0,1,0,-1,-1,1,0,-1,-1,-1,0,-1,0,-1,0,1,0,1,0,1,0,0,0,-1,1,1,0,1,0,
51,2005,-1,-1,-1,0,-1,-1,0,-1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,0,-1,-1,0,1,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,1,0,-1,1,-1,1,1,-1,0,0,
22,1989,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,0,1,0,-1,1,1,-1,-1,1,-1,1,-1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,-1,1,0,1,1,0,0,-1,1,1,1,-1,0,
22,1994,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,0,1,0,-1,1,1,-1,-1,1,-1,1,-1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,-1,1,0,1,1,0,0,-1,1,1,1,-1,0,
22,1998,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,0,1,0,-1,1,1,-1,-1,1,-1,1,-1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,-1,1,0,1,1,0,0,-1,1,1,1,-1,0,
22,2002,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,0,1,0,0,1,1,-1,-1,1,-1,1,-1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,-1,1,0,1,1,0,1,-1,1,1,1,-1,0,
22,2003,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1,1,-1,1,0,1,0,0,1,1,-1,-1,1,-1,1,-1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,-1,1,0,1,1,0,1,-1,1,1,1,-1,0,
22,2006,1,0,-1,1,-1,-1,-1,0,-1,1,-1,-1,1,-1,-1,0,1,1,0,1,1,-1,0,-1,0,1,0,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,-1,1,0,0,1,-1,1,1,0,-1,-1,
43,1987,0,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1,0,1,0,0,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,0,1,1,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,
43,1991,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1,0,1,0,0,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,
43,1995,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1,0,1,0,0,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,
43,1999,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1,0,1,0,1,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,
43,2003,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,0,1,-1,1,1,1,1,-1,0,1,0,1,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,
43,2007,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,0,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,0,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,-1,1,-1,-1,0,-1,1,1,1,-1,-1,
